model,score_overall_value,score_overall_stderr,score_evasion_value,score_evasion_stderr,task_arg_hint
Claude Sonnet 3.7,0.250,0.020,0.500,0.018,False
Claude Sonnet 3.7,0.230,0.015,0.380,0.018,True
Gemini Pro 2.5,0.150,0.023,0.400,0.020,False
Gemini Pro 2.5,0.170,0.020,0.320,0.020,True
Claude Sonnet 3.6,0.110,0.013,0.450,0.015,False
Claude Sonnet 3.6,0.150,0.013,0.460,0.015,True
o4-mini,0.065,0.008,0.270,0.018,False
o4-mini,0.040,0.005,0.250,0.018,True
GPT-4.1,0.045,0.008,0.300,0.018,False
GPT-4.1,0.130,0.013,0.300,0.018,True
Gemini 2.5 Flash,0.040,0.005,0.200,0.018,False
Gemini 2.5 Flash,0.035,0.005,0.220,0.018,True
